"Tableau 4-2 – Gènes des myopies syndromiques liés","",""
"à l’analyse GWAS.","",""
"Gène","Locus","Syndrome clinique"
"","","Microcornée, choroïdose myopique"
"ADAMTS18","16q23.1",""
"","","et télécanthus"
"","","Syndrome d’Ehlers-Danlos, type VII"
"ADAMTS2","5q35.3",""
"","","autosomique récessif"
"ADAMTSL4","1q21.3","Ectopie cristallinienne et pupillaire"
"AGK","7q34","Syndrome de Sengers"
"","","Cutis laxa type IIIa autosomique"
"ALDH18A1","10q24.1",""
"","","récessif"
"ASXL1","20q11.21","Syndrome de Bohring-Opitz"
"","","Maladie microvasculaire cérébrale"
"COL4A1","13q34",""
"","","avec ou sans anomalies oculaires"
"COL9A2","1p34.2","Syndrome de Stickler type V"
"","","Syndrome de contractures"
"ERBB3","12q13.2",""
"","","congénitales létales type 2"
"FBN1","15q21.1","Syndrome de Marfan"
"FBN1","15q21.1","Syndrome de Weill-Marchesani 2"
"","","Dysplasie oculodentodigitale"
"GJA1","6q22.31",""
"","","autosomique récessif"
"GNPTAB","12q23.2","Mucolipidose III alpha/bêta"
"IFIH1","2q24.2","Syndrome 1 Singleton-Merten"
"","","Microcéphalie avec ou sans"
"KIF11","10q23.33","choriorétinopathie, lymphœdème"
"","","ou retard mental"
"","","Microsphérophakie et/ou"
"","","mégalocornée avec ectopie"
"LTBP2","14q24.3",""
"","","cristallinienne ou sans glaucome"
"","","secondaire"
"OCA2","15q12.13","Albinisme oculocutané type 2"
"","","Leucodystrophie 8"
"","","hypomyélinisante avec ou sans"
"POLR3B","12q23.3",""
"","","oligodontie et/ou hypogonadisme"
"","","hypogonadotrophique"
"","","Dystrophie-dystroglycanopathie"
"","","musculaire (congénitale avec"
"POMT1","9q34.13",""
"","","anomalies cérébrales et oculaires)"
"","","type A, 1"
"","","Dystrophie-dystroglycanopathie"
"","","musculaire (congénitale avec"
"POMT1","9q34.13",""
"","","anomalies cérébrales et oculaires)"
"","","type B, 1"
"PTPN11","9q34.13","Syndrome de Noonan 1"
"SLC39A5","12q13.3","Myopie 24 autosomique dominante"
"TFAP2A","6p24.3","Syndrome branchio-oculo-facial"
"ZNF469","16Q24.2","Syndrome de la cornée fragile 1"
