"Tableau 4-3 – Les différents gènes retrouvés dans les myopies syndromiques.","",""
"Syndrome","Tableau clinique","Gènes"
"","Myopie forte congénitale, vitréorétinopathie, décollement de","COL2A1, COL11A1, COL11A2,"
"Syndrome de Stickler","",""
"","rétine, dysmorphie faciale, surdité, articulations hypermobiles","COL9A1, COL9A2, COL9A3"
"","Myopie, vitréorétinopathie, autosomique dominant, vitré",""
"Syndrome de Wagner et","optiquement vide, cataracte précoce, cécité nocturne avec",""
"","","VCAN"
"vitréorétinopathies VCAN","atrophie choriorétinienne progressive, décollement de rétine, pas",""
"","d’anomalies systémiques",""
"","Myopie évolutive, anomalies choriorétiniennes variables selon la",""
"Autres vitréorétinopathies","","VCAN"
"","forme",""
"","Ectopie cristallinienne, myopie, dilatation aortique, anomalies",""
"Syndrome de Marfan","","FBN1"
"","squelettiques, anomalies durales, hyperélasticité",""
"","Ectopie cristallinienne, microsphérophakie, glaucome, petite taille,",""
"Syndrome de Weill-Marchesani","","FBN1"
"","brachydactylie, raideur articulaire",""
"","Présentations cliniques hétérogènes, six sous-types, taches sclérales",""
"Syndrome d’Ehlers-Danlos","","ADAMTS2"
"","bleutées, hyperlaxité articulaire, fragilité des tissus mous",""
"Syndrome de la cornée fragile","Type de syndrome d’Ehlers-Danlos, cornée amincie et fragile","ZNF469"
"","Myopie progressive, dystrophie choriorétinienne, obésité du tronc,",""
"Syndrome de Cohen","",""
"","retard de croissance, hypotonie, retard psychomoteur, neutropénie",""
"","Hypopigmentation cutanée et des cheveux, iris transilluminable,",""
"Albinisme","","OCA2"
"","hypoplasie maculaire",""
"","Atteinte panoculaire, aniridie, insufﬁsance limbique, glaucome,",""
"Aniridie","","PAX6"
"","cataracte, hypoplasie maculaire",""
"","Myopie forte inconstante, peau ridée, luxation de hanche, hernie",""
"Cutis laxa","","ALDH18A1"
"","unguinale, retard psychomoteur sévère",""
"","Dysmorphie faciale et posturale, retard mental, microcéphalie,",""
"Syndrome de Bohring-Opitz","","ASXL1"
"","déﬁcit de croissance",""
"","Myopie forte évolutive, décollement de rétine sévère,",""
"Syndrome de Knobloch","","COL18A1"
"","encéphalocèle occipitale, retard psychomoteur",""
