"Tableau 7.3 – Paramètres anatomiques nécessaires selon les différentes formules de biométrie.","","","","","","","",""
"","LA","K","LT","ACD","WTW","Âge","CCT","Réf. pré-op."
"SRK-T","X","X","","","","","",""
"Holladay I","X","X","","","","","",""
"Hoffer Q","X","X","","","","","",""
"Olsen","X","X","X","X","","X","X",""
"Haigis","X","X","","X","","","",""
"Holladay II","X","X","X","X","X","X","","X"
"Barrett universal","","","","","","","",""
"","X","X","X","X","X","","",""
"II","","","","","","","",""
"","LA : longueur axiale ; K : kératométrie ; LT : lens thickness (épaisseur cristallinienne) ; ACD : anterior chamber depth (profondeur","","","","","","",""
"","de la chambre antérieure) ; WTW : white-to-white (blanc à blanc) ; CCT : central corneal thickness (épaisseur cornéenne centrale).","","","","","","",""
"","Réf. pré-op. : réfraction préopératoire.","","","","","","",""
